latitude,longitude,brightness,acq_date,acq_time
-11.627,142.23,318,4/10/2019,1310
-31.471,151.817,312,4/12/2019,1235
-32.989,150.243,341.9,30/12/2019,345
-31.029,152.582,336.2,15/11/2019,0
-13.218,141.837,315.3,22/10/2019,1600
-28.747,129.825,396.1,5/10/2019,140
-29.211,153.31,329.6,26/11/2019,1455
-32.791,150.921,333.5,14/12/2019,345
-19.779,144.438,382.2,2/01/2020,420
-27.163,128.829,342.1,3/11/2019,530
-37.37,147.573,316,20/12/2019,1550
-28.631,127.871,311.2,4/11/2019,1400
-32.634,150.437,330,20/12/2019,1235
-14.193,131.255,347.5,15/10/2019,505
-15.329,128.458,347.6,19/12/2019,120
-31.149,152.369,381.5,8/11/2019,410
-17.848,122.338,346.5,17/11/2019,545
-35.719,136.784,325.8,1/01/2020,1615
-29.713,119.502,347,17/12/2019,555
-13.186,130.609,377.1,22/10/2019,510
-18.313,143.863,339,22/12/2019,440
-15.653,129.758,329.3,6/10/2019,220
-15.658,130.755,306.4,2/12/2019,1430
-17.604,143.818,330,23/12/2019,55
-32.95,123.615,342.2,16/12/2019,230
-30.074,151.313,325.2,5/01/2020,310
-13.412,135.754,324.2,19/12/2019,120
-21.723,117.884,344.6,24/10/2019,635
-31.342,123.669,334.1,14/11/2019,510
-33.616,150.322,328.3,20/12/2019,2335
-30.647,152.633,300.2,23/10/2019,1510
-28.672,127.416,370,23/10/2019,130
-36.571,149.904,321.9,1/01/2020,1435
-29.692,152.701,315.1,4/12/2019,1235
-32.433,120.307,333.2,9/12/2019,645
-17.943,142.564,317.1,18/12/2019,1250
-32.746,151.041,325.9,26/12/2019,1510
-34.893,150.244,302,25/12/2019,1250
-29.287,151.544,349.1,10/11/2019,400
-38.075,141.829,343.5,22/12/2019,435
-19.412,138.626,313.5,27/12/2019,1550
-36.073,147.768,315.1,30/12/2019,1310
-36.043,149.92,361.6,30/12/2019,1310
-14.35,130.795,337,21/10/2019,425
-11.463,142.281,304.6,22/10/2019,1255
-33.473,150.566,328.1,9/12/2019,325
-17.393,143.192,361.5,24/12/2019,425
-34.865,138.829,404.3,20/12/2019,30
-34.258,150.006,378.6,31/12/2019,10
-35.475,149.643,411.5,1/12/2019,0
-19.511,146.481,381.4,12/10/2019,430
-12.207,134.659,337.5,25/11/2019,500
-26.639,152.441,346,9/11/2019,1240
-24.914,149.919,349.9,4/12/2019,25
-25.515,150.515,329.8,8/11/2019,410
-12.291,134.398,337.3,12/10/2019,435
-37.122,149.747,327.8,4/01/2020,1325
-28.728,152.458,321.3,6/12/2019,255
-33.901,122.131,312.1,26/12/2019,1515
-29.117,122.983,316.5,1/10/2019,1725
-12.517,136.672,327.4,10/11/2019,405
-24.506,125.874,313.7,26/12/2019,1335
-17.577,142.909,337.8,14/12/2019,350
-19.194,146.039,305.7,18/12/2019,1250
-36.057,147.575,310.6,31/12/2019,1530
-35.736,137.292,361.4,9/01/2020,145
-31.968,152.456,312.8,9/11/2019,1240
-35.983,147.66,334.2,30/12/2019,1310
-25.101,152.229,310.8,16/12/2019,1430
-14.005,130.964,333.6,20/10/2019,55
-33.942,150.091,414,5/12/2019,1315
-14.038,131.057,367.6,19/10/2019,440
-35.061,150.34,352.2,20/12/2019,2335
-28.332,152.62,395.8,12/11/2019,345
-32.808,151.057,317,4/12/2019,1235
-30.226,150.151,323.7,21/10/2019,420
-29.819,152.371,361.9,8/11/2019,410
-37.354,148.789,306.3,1/01/2020,1255
-15.449,143.33,407.6,8/12/2019,425
-34.405,118.237,328,28/12/2019,120
-33.389,150.204,334.5,15/12/2019,2315
-37.21,147.087,433.9,4/01/2020,400
-33.148,150.471,370.2,8/11/2019,410
-12.925,136.139,337.1,10/11/2019,115
-14.947,126.192,312.3,25/11/2019,1425
-29.151,151.588,314.1,9/11/2019,1240
-34.104,150.283,418,3/12/2019,405
-30.813,151.821,333.3,16/12/2019,335
-37.269,149.184,353.9,4/01/2020,1505
-14.109,130.073,331.5,10/12/2019,125
-15.572,125.055,349.4,21/11/2019,520
-30.09,152.516,341.4,12/11/2019,345
-27.985,127.857,353.9,22/10/2019,505
-35.51,150.177,336.6,26/11/2019,1320
-31.933,122.838,316.6,10/11/2019,1500
-21.756,117.938,350.1,25/10/2019,540
-30.783,151.901,331,28/11/2019,345
-30.402,150.221,310.9,16/11/2019,1245
-14.416,127.386,317,25/12/2019,1435
-18.57,143.755,307.9,20/12/2019,1235
-16.295,123.975,315.7,6/12/2019,1405
-31.515,152.083,322.3,6/12/2019,1220
-41.302,147.093,321,30/10/2019,415
-17.297,123.853,341.4,4/11/2019,150
-29.972,152.742,326,9/11/2019,35
-36.238,149.625,397.6,30/12/2019,1310
-18.377,145.4,333.7,11/01/2020,415
-35.726,136.964,354.9,21/12/2019,115
-33.006,150.957,433.4,5/12/2019,350
-37.328,148.326,312.1,23/11/2019,325
-29.831,152.258,344.9,10/11/2019,400
-41.553,147.962,333.5,1/01/2020,1255
-18.197,143.808,333,20/12/2019,25
-24.65,127.235,351.7,1/01/2020,515
-13.02,135.779,321.9,22/10/2019,1600
-28.235,152.542,352.7,18/12/2019,320
-12.267,134.432,337.8,14/10/2019,420
-26.079,119.287,373.1,25/10/2019,540
-35.171,150.453,309.3,3/01/2020,1245
-31.289,123.716,328.1,12/11/2019,525
-29.377,152.124,313.3,19/12/2019,1505
